source,target,value
The Rachel Maddow Show,Yulia Navalnaya,
The Rachel Maddow Show,Jen Psaki,
The Rachel Maddow Show,Jonathan Martin,
The Rachel Maddow Show,Ruth Ben-Ghiat,
The Rachel Maddow Show,Tikhon Dzyadko,
The Rachel Maddow Show,Chris Hayes,
The Rachel Maddow Show,Andrea Mitchell,
Morning Joe,MSNBC,
Morning Joe,Willie Geist,
Morning Joe,Mika Brzezinski,
Morning Joe,Joe Scarborough,
Morning Joe,Louis Burgdorf,
Morning Joe,Michael Buczkiewicz,
Morning Joe,Charlie Sykes,
Morning Joe,Bob Woodward,
Morning Joe,Joe Biden,
Morning Joe,Sam Stein,
Morning Joe,Symone Sanders,
Morning Joe,Pete Buttigieg,
Morning Joe,James Stavridis,
Morning Joe,Elise Jordan,
Morning Joe,Mark Leibovich,
Morning Joe,Jake Tapper,
Morning Joe,Richard Haass,
Morning Joe,John Heilemann,
Morning Joe,Mark Murray,
Morning Joe,Al Sharpton,
Morning Joe,Alexandria Ocasio-Cortez,
Morning Joe,Nick Barnicle,
Morning Joe,Dr. Eddie Glaude,
Morning Joe,Vaughn Hillyard,
Morning Joe,Roger Bennett,
Morning Joe,Deanne Criswell,
Morning Joe,Lisa Rubin,
Morning Joe,Jesse Jackson,
Morning Joe,Dylan Douglas,
Morning Joe,Peter Alexander,
Morning Joe,Donny Deutsch,
Morning Joe,Greg Bluestein,
Morning Joe,Steven Rattner,
Morning Joe,Jim Messina,
Morning Joe,Jen O'Malley Dillon,
Morning Joe,David Rothkopf,
Morning Joe,Michael Beschloss,
Morning Joe,Paul Finebaum,
Morning Joe,Jon Meacham,
Morning Joe,Claire McCaskill,
Morning Joe,Katty Kay,
Morning Joe,Mike Barnicle,
Morning Joe,Jonathan Lemire,
Morning Joe,Eugene Robinson,
Morning Joe,Pablo Torre,
Morning Joe,Alex Korson,
Morning Joe,Stephanie Gosk,
Morning Joe,Tom Llamas,
Morning Joe,Jay Gray,
Morning Joe,Michelle Grossman,
Morning Joe,Janis Mackey Frayer,
Morning Joe,Tim Alberta,
Morning Joe,Liz Alpert,
Morning Joe,Julia Ainsley,
Morning Joe,Mark DeRosa,
Morning Joe,Steve Kornacki,
Morning Joe,Kevin Anderson,
Morning Joe,Michael S. Schmidt,
Morning Joe,Jane Castor,
Morning Joe,Colin Barnicle,
The Majority Report,Michael J Brooks ,
The Majority Report,Sam Seder,
The Majority Report,Matt Lech,
The Majority Report,Jamie Peck ,
The Majority Report,Emma Vigeland,
The Majority Report,Matt Stoller,
The Majority Report,Will Sommer,
The Majority Report,Dr. Alicia Puglionesi,
The Majority Report,Adam Jentleson,
The Majority Report,Dr. Leah Torres,
The Majority Report,Deva Woodly,
The Majority Report,Caroline Lucas,
The Majority Report,Greg Casar,
The Majority Report,Donna Murch,
The Majority Report,Anna-Lisa Cox,
The Majority Report,Jules Boykoff,
The Majority Report,Kate Crawford,
The Majority Report,Eyal Press,
The Majority Report,Dr. MarkAlain Dery,
The Majority Report,Kidada Williams,
The Majority Report,Richard Alba,
The Majority Report,Larry Sharpe,
The Majority Report,Benjamin Dixon,
The Majority Report,Gina Dent,
The Majority Report,Paul Sabin,
The Majority Report,David Freedlander,
The Majority Report,Ursula Hackett,
The Majority Report,Abdul El-Sayed,
The Majority Report,Diana Buttu,
The Majority Report,Judy Gold,
The Majority Report,Dan Friesen,
The Majority Report,Mehdi Hasan,
The Majority Report,Heather Parton,
The Majority Report,Jonathan M. Katz,
The Majority Report,Natasha Lennard,
The Majority Report,Kathryn Judge,
The Majority Report,Sarah Jaffe,
The Majority Report,Jonathan Mahler,
The Majority Report,Jaz Brisack,
The Majority Report,Ruth Ben-Ghiat,
The Majority Report,James Russell,
The Majority Report,Jessica Cisneros,
The Majority Report,Joshua Specht,
The Majority Report,Christian Smalls,
The Majority Report,Jefferson Morley,
The Majority Report,Mark Bankston,
The Majority Report,Matt Lieb,
The Majority Report,Joshua Landis,
The Majority Report,Julia Ioffe,
The Majority Report,Meron Rapoport,
The Majority Report,Nikki Usher,
The Majority Report,Jordan Flowers,
The Majority Report,Samuel Stein,
The Majority Report,Saul Seder,
The Majority Report,Alexander Zaitchik,
The Majority Report,Spencer Headworth,
The Majority Report,Ruben Andersson,
The Majority Report,Wilfred Codrington,
The Majority Report,Brendan James,
The Majority Report,Hahrie Han,
The Majority Report,Leslie Kern,
The Majority Report,Kris Manjapra,
The Majority Report,Sarah R. Coleman,
The Majority Report,Dan Bouk,
The Majority Report,Keisha N. Blain,
The Majority Report,Dave Goulson,
The Majority Report,Heath Brown,
The Majority Report,Katherine Blunt,
The Majority Report,Judy Gold,
The Majority Report,Abdul El-Sayed,
The Majority Report,Hasan Piker,
The Majority Report,Sarah Silverman,
The Majority Report,Dan Friesen,
The Majority Report,Mehdi Hasan,
The Majority Report,Natasha Lennard,
The Majority Report,Amanda Montell,
The Majority Report,Ruth Conniff,
The Majority Report,Jess McHugh,
The Majority Report,Nick Turse,
The Majority Report,J. David McSwane,
The Majority Report,Nancy Fraser,
The Majority Report,James Kilgore,
The Majority Report,Jeff Sharlet,
The Majority Report,Erin Reed,
The Majority Report,Devon Carbado,
The Majority Report,Olayemi Olurin,
The Majority Report,Barbara Freese,
The Majority Report,Natalie Shure,
The Majority Report,Rachel Greenwald Smith,
The Majority Report,Donald Cohen,
The Majority Report,Dave Zirin,
The Majority Report,Matt Duss,
The Majority Report,Gerald Horne,
The Majority Report,Nicole Hemmer,
The Majority Report,Anne Nelson,
The Majority Report,Brendan James,
The Majority Report,Jordan Flowers,
The Majority Report,Nikki Usher,
The Majority Report,Samuel Stein,
The Majority Report,Saul Seder,
The Majority Report,Elizabeth Popp Berman,
The Majority Report,Dr. Sara Nur Yildiz,
The Majority Report,Fae Weichsel,
The Majority Report,Naomi Oreskes,
The Majority Report,Andy Kroll,
The Majority Report,Ken Klippenstein,
The Majority Report,Dr. Elinor Cleghorn,
The Majority Report,Jessica Preheim,
The Majority Report,Elie Mystal,
The Majority Report,Aamon Hawk,
The Majority Report,Clara Mattei,
The Majority Report,Anna Della Subin,
The Majority Report,Aviva Chomsky,
The Majority Report,Daisy Pitkin,
The Majority Report,Randall Eliason,
The Majority Report,Spencer Ackerman,
The Majority Report,William Darity,
The Majority Report,Rafia Zakaria,
The Majority Report,Daniel Nichanian,
The Majority Report,Jefferson Cowie,
The Majority Report,Ross Barkan,
The Majority Report,Dr. Kellie Jackson,
The Majority Report,Vali Nasr,
The Majority Report,Jonathan Guyer,
The Majority Report,Michael Albert,
The Majority Report,Dr. Will Stronge,
The Majority Report,Jon Marshall,
The Majority Report,Rebecca Galemba,
The Majority Report,Jane McAlevey,
The Majority Report,Vivek Chibber,
The Majority Report,David Feldman,
The Majority Report,Matthew Cole,
The Majority Report,Danielle Lindemann,
The Majority Report,Heather Berg,
The Majority Report,Francesca Fiorentini,
The Majority Report,Jeet Heer,
The Majority Report,John Hodgman,
The Majority Report,Richard D. Wolff,
The Majority Report,Masha Gessen,
The Majority Report,Daniel Ellsberg,
The Majority Report,Adam Johnson,
The Majority Report,Claudia Goldin,
The Majority Report,Quinn Slobodian,
The Majority Report,Herschel Walker,
The Majority Report,Sean Illing,
The Majority Report,Ilan Pappé,
The Majority Report,Sarah Jones,
The Majority Report,Matthew T. Huber,
The Majority Report,Stylianos Karolidis,
The Majority Report,Astra Taylor,
The Majority Report,Heather Digby,
The Majority Report,James Austin Johnson,
The Majority Report,Rupa Marya,
The Majority Report,Kerry Howley,
The Majority Report,Alex Hochuli,
The Majority Report,Max Chafkin,
The Majority Report,Dorothy Brown,
The Majority Report,Ian Millhiser,
The Majority Report,Jon Grinspan,
The Majority Report,Kate Aronoff,
The Majority Report,Will Bunch,
The Majority Report,Christopher Leonard,
The Majority Report,David Griscom,
The Majority Report,Andrew Callaghan,
The Majority Report,Anthony Jack,
The Majority Report,Ryan Cooper,
The Majority Report,Rebecca Galemba,
The Majority Report,Barry Eidlin,
The Majority Report,Natalia Mehlman Petrzela,
The Majority Report,Elizabeth Hinton,
The Majority Report,Elizabeth Tandy Shermer,
The Majority Report,Heather Berg,
The Majority Report,Caleb Cain,
The Majority Report,Stephen Wertheim,
The Majority Report,Adrian Hon,
The Majority Report,Jamie Ducharme,
The Majority Report,Mark Joseph Stern,
The Majority Report,Dave Weigel,
The Majority Report,Rachel Cohen,
The Majority Report,Vanessa Williamson,
The Majority Report,Rosa Brooks,
The Majority Report,Alexandra Brodsky,
The Majority Report,Alex Hochuli,
The Majority Report,Ussama Makdisi,
The Majority Report,Jason Myles,
The Majority Report,Ian Millhiser,
The Majority Report,Max Chafkin,
The Majority Report,Matt Binder,
The Majority Report,Sharon Lerner,
The Majority Report,Dr. Steven Thrasher,
The Majority Report,Malaika Jabali,
The Majority Report,Joanna Schwartz,
The Majority Report,Alan Minsky,
The Majority Report,Jonah Furman,
The Majority Report,David W. Blight,
The Majority Report,Jack Crosbie,
The Majority Report,Heather Digby,
The Majority Report,Heather McGhee,
The Majority Report,Jon Grinspan,
The Majority Report,James Austin Johnson,
The Majority Report,Alexandra Natapoff,
The Majority Report,Edwin Raymond,
The Majority Report,Mike Duncan,
The Majority Report,Jayar Jackson,
The Majority Report,Blake Emerson,
The Majority Report,Alex Speidel,
The Majority Report,Kyla Schuller,
The Majority Report,Luke Savage,
The Majority Report,Anthea Butler,
The Majority Report,Laleh Khalili,
The Majority Report,Alex de Waal,
The Majority Report,Mark Joseph Stern,
The Majority Report,Ryan Grim,
The Majority Report,Bill McKibben,
The Majority Report,Andy Kindler,
The Majority Report,Andrew Delbanco,
The Majority Report,Troy Vettese,
The Majority Report,Dan Bessner,
The Majority Report,Brian Merchant,
The Majority Report,Rachel Cohen,
The Majority Report,Dave Weigel,
The Majority Report,Michael Bronski,
The Majority Report,Julia Rock,
The Majority Report,John Huntington,
The Majority Report,Vanessa Williamson,
The Majority Report,Tim Heidecker,
The Majority Report,Sam Quinones,
The Majority Report,Ben Burgis,
The Majority Report,Naomi Klein,
The Majority Report,Aaron Kleinman,
The Majority Report,Osita Nwenavu,
The Majority Report,Jonathan Levy,
The Majority Report,Jayar Jackson,
The Majority Report,Hamza Syed,
The Majority Report,Dr. Khiara Bridges,
The Majority Report,Cas Mudde,
The Majority Report,Paul M. Renfro,
The Majority Report,Brian Hochman,
The Majority Report,Adam Hilton,
The Majority Report,Tony Messenger,
The Majority Report,Kyla Schuller,
The Majority Report,Alex de Waal,
The Majority Report,Edwin Raymond,
The Majority Report,Alexandra Natapoff,
The Majority Report,Nick Estes,
The Majority Report,Ben Gleib,
The Majority Report,Annelle Sheline,
The Majority Report,Tom Zoellner,
The Majority Report,Luke Goldstein,
The Majority Report,Dr. Uché Blackstock,
The Majority Report,Suzanne Nossel,
The Majority Report,Annie Lowrey,
The Majority Report,Maureen Tkacik,
The Majority Report,Pascal Robert,
The Majority Report,Douglas Rushkoff,
The Majority Report,Amanda Seales,
The Majority Report,H. Jon Benjamin,
The Majority Report,Aziz Rana,
The Majority Report,Alex Sammon,
The Majority Report,Perry Bacon,
The Majority Report,Suzanne Schneider,
The Majority Report,Lowell Peterson,
The Majority Report,Carol Leonnig,
The Majority Report,Samuel Moyn,
The Majority Report,Moustafa Bayoumi,
The Majority Report,Elizabeth Samet,
The Majority Report,India Walton,
The Majority Report,Lily Geismer,
The Majority Report,Ann Neumann,
The Majority Report,Matthew Stewart,
The Majority Report,Jena Friedman,
The Majority Report,Alex Press,
The Majority Report,Henry Grabar,
The Majority Report,Alissa Quart ,
The Majority Report,Peter Shamshiri,
The Majority Report,Murtaza Hussain,
The Majority Report,Leah Litman,
The Majority Report,William A. Darity,
The Majority Report,Ada Ferrer,
The Majority Report,Amanda Terkel,
The Majority Report,Pat Garofalo,
The Majority Report,Bhairavi Desai,
The Majority Report,Travis Dixon,
The Majority Report,Beatrice Adler-Bolton,
The Majority Report,Helena Bottemiller Evich,
The Majority Report,Travis Lupick,
The Majority Report,Dr. Marcia Chatelain,
The Majority Report,Trita Parsi,
The Majority Report,David Rees,
The Majority Report,Kyle T. Mays,
The Majority Report,Jon N. Hale,
The Majority Report,David Wengrow,
The Majority Report,William A. Blair,
The Majority Report,Walt Bogdanich,
The Majority Report,Daniel Squadron,
The Majority Report,Kimberly Varnon,
The Majority Report,James North,
The Majority Report,Bartow Elmore,
The Majority Report,Eugene Puryear,
The Majority Report,Tony Delorio,
The Majority Report,Karen Hao,
The Majority Report,Derek Davison,
The Majority Report,Jeremy Gilbert,
The Majority Report,Andrew Seidel,
The Majority Report,Sheryll Cashin,
The Majority Report,Garrison Lovely,
The Majority Report,Sean McElwee,
The Majority Report,Joe Margulies,
The Majority Report,Jordan Holmes,
The Majority Report,Eviane Leidig,
The Majority Report,Oliver Bullough,
The Majority Report,Dylan Penningroth,
The Majority Report,Ari Rabin Havt,
The Majority Report,Akela Lacy,
The Majority Report,Peter Robison,
The Majority Report,Andrew Ross,
The Majority Report,Jamie Edwards,
The Majority Report,Zachary Carter,
The Majority Report,Tim Jackson,
The Majority Report,Kelly Weill,
The Majority Report,Jonathan Daniel Wells,
The Majority Report,Benjamin T. Smith,
The Majority Report,Karen L. Cox,
The Majority Report,Brenda Wineapple,
The Majority Report,Patrick Radden Keefe,
The Majority Report,Canyon Woodward,
The Majority Report,Sumathy Kumar,
The Majority Report,Daniel Melo,
The Majority Report,Dean Spade,
The Majority Report,David Roth,
The Majority Report,Emily Tamkin,
The Majority Report,Louis Hyman,
The Majority Report,Jorge Rocha,
The Majority Report,David Vine,
The Majority Report,Treva Lindsey,
The Majority Report,Rupert Russell,
The Majority Report,Sam Mellins,
The Majority Report,Roxanne Dunbar-Ortiz,
The Majority Report,Jordan Holmes,
The Majority Report,Ari Berman ,
The Majority Report,Tim Higgins,
The Majority Report,Jessie Singer,
The Majority Report,Dale Kretz,
The Majority Report,Michael German,
The Majority Report,Richard Kahlenberg,
The Majority Report,Harold Meyerson,
The Majority Report,John Nichols,
The Majority Report,Andrew Seidel,
The Majority Report,Alexandra Hunt,
The Majority Report,Karen Hao,
The Majority Report,Karen Levy,
The Majority Report,Emily Flitter,
The Majority Report,John Schuessler,
The Majority Report,Danielle Carr,
The Majority Report,David Cross,
The Majority Report,David Roth,
The Majority Report,Amjad Iraqi,
The Majority Report,Michelle Eisen,
The Majority Report,David Treuer,
The Majority Report,Katharina Pistor,
The Majority Report,Drew Pendergrass,
The Majority Report,Louis Hyman,
The Majority Report,Jorge Rocha,
The Majority Report,David Vine,
The Majority Report,Rupert Russell,
The Majority Report,Treva Lindsey,
The Majority Report,William Neuman,
The Majority Report,Matthew Cortland,
The Majority Report,Louis Rossmann,
The Majority Report,Amanda Lewis,
The Majority Report,Daniel Immerwahr,
The Majority Report,Paris Marx,
The Majority Report,Rogé Karma,
The Majority Report,Alex Pareene,
The Majority Report,Sarah Seo,
The Majority Report,Jarod Facundo,
The Majority Report,Adam Tooze,
The Majority Report,Gary Gerstle,
The Majority Report,Ilhan Omar,
The Majority Report,Rick Perlstein,
The Majority Report,Malcolm Harris,
The Majority Report,Melissa Gira Grant,
The Majority Report,Jake Flores,
The Majority Report,Adam Hochschild,
The Majority Report,Orville Burton,
The Majority Report,Summer Lee,
The Majority Report,Christopher W. Shaw,
The Majority Report,Raina Lipsitz,
The Majority Report,Leah Stokes,
The Majority Report,Matt Christman,
The Majority Report,Randi Weingarten,
The Majority Report,Tim Shorrock,
The Majority Report,Daniel Laurison,
The Majority Report,Blair L.M. Kelley,
The Majority Report,Paul Johnson,
The Majority Report,Ingrid Robeyns,
The Majority Report,Mike Konczal,
The Majority Report,Olufemi O. Taiwo,
The Majority Report,Haggai Matar,
The Majority Report,Ashley Dawson,
The Majority Report,Eric Rauchway,
The Majority Report,Michael Brenes,
The Majority Report,Margaret MacMillan,
The Majority Report,Bruce Schneier,
The Majority Report,Adam Conover,
The Majority Report,William E. Forbath,
The Majority Report,Sara Matthiesen,
The Majority Report,Rana Abdelhamid,
The Majority Report,Nomiki Konst,
The Majority Report,Ben Terris,
The Majority Report,Asad Haider,
The Majority Report,Timothy Faust,
The Majority Report,Dorothy Roberts,
The Majority Report,Rashid Khalidi,
The Majority Report,Noah Kulwin,
The Majority Report,Jamelle Bouie,
The Majority Report,Robin Kelley,
The Majority Report,Trevor Aaronson,
The Majority Report,Timothy Jost,
The Majority Report,Sanford M. Jacoby,
The Majority Report,Katherine Todrys,
The Majority Report,Alexander Keyssar,
The Majority Report,David Pepper,
The Majority Report,Alleen Brown,
The Majority Report,Martin Sherwin,
The Majority Report,Joseph Fishkin,
The Majority Report,Donald Yacovone,
The Majority Report,Chloe Maxmin,
The Majority Report,Gary Orfield,
The Majority Report,Stephen Vladeck,
The Majority Report,Jacob Silverman,
The Majority Report,David Wessel,
The Majority Report,David Graeber,
The Majority Report,James Risen,
The Majority Report,Timothy Shenk,
The Majority Report,David Sirota,
The Majority Report,Yanis Varoufakis,
The Majority Report,Peniel Joseph,
The Majority Report,Ben Tarnoff,
The Majority Report,Kim Kelly,
The Majority Report,Victoria Bassetti,
The Majority Report,Zhandarka Kurti,
The Majority Report,Russ Feingold,
The Majority Report,Brian Mier,
The Majority Report,Carl Lindskoog,
The Majority Report,Matt Ford,
The Majority Report,Dr. Nicholas Kardaras,
The Majority Report,Jeff Hauser,
The Majority Report,Edward Miller,
The Majority Report,Dr. Manisha Sinha,
The Majority Report,Dr. Ibrahim Al-Marashi,
The Majority Report,Nick Seabrook,
The Majority Report,Kari Lydersen,
The Majority Report,James Tabery,
The Majority Report,Jacob Sugarman,
The Majority Report,Laura Katz Olson,
The Majority Report,Jarrod Shanahan,
The Majority Report,Van Jackson,
The Majority Report,Kimberly St. Julian-Varnon,
The Majority Report,Ahsan I. Butt,
The Majority Report,Sarah Moran,
The Majority Report,Marian Schlotterbeck,
The Majority Report,Rosie Collington,
The Majority Report,Dr. Anastasia Curwood,
The Majority Report,Sarah Brayne,
The Majority Report,Catherine Liu,
The Majority Report,T.J. Kitchen,
The Majority Report,Bethany Kosmicki,
The Majority Report,Dominique Remy,
The Majority Report,Kaniela Ing,
The Majority Report,Orisanmi Burton,
The Majority Report,Ryan Gabrielson,
The Majority Report,Jake Johnston,
The Majority Report,Cole James Cash,
The Majority Report,Sarah Miller,
The Majority Report,Dr. Titi Afolabi,
The Majority Report,Daniel Canon,
The Majority Report,John Abramson,
The Majority Report,Raymond Jackson,
The Majority Report,Matthew Soules,
The Majority Report,Alec Karakatsanis,
The Majority Report,Dr. Bradley Onishi,
The Majority Report,Dr. Melvin Rogers,
The Majority Report,Neil Vallelly,
The Majority Report,Ganesh Sitaraman,
The Majority Report,Kina Collins,
The Majority Report,Shon Faye,
The Majority Report,Justin Driver,
The Majority Report,Carlos Rodriguez,
The Majority Report,Seth Harp,
The Majority Report,Katya Schwenk,
The Majority Report,Hasan Ali,
The Majority Report,Destin Jenkins,
The Majority Report,Amane Badhasso,
The Majority Report,Corban Addison,
The Majority Report,Premilla Nadasen,
The Majority Report,Nsombi Lambright,
The Majority Report,Murray Cox,
The Majority Report,Imani Perry,
The Majority Report,Lupe Rodriguez,
The Majority Report,Camille Gix,
The Majority Report,Adam Green,
The Majority Report,Teresa Ghilarducci,
The Majority Report,Daniel Medwed,
The Majority Report,Kate Wagner,
The Majority Report,Ed Burmila,
The Majority Report,Claudio Saunt,
The Majority Report,Azad Essa,
The Majority Report,Shaan Sharma,
The Majority Report,Jacob Grumbach,
The Majority Report,Nick Weiner,
The Majority Report,Yuh-Line Niou,
The Majority Report,Aaron Habrack,
The Majority Report,Edwin F. Ackerman,
The Majority Report,Lauren Kirchner,
The Majority Report,Sophia Moccio,
The Majority Report,Alexandra Scaggs,
The Majority Report,Mark Beissinger,
The Majority Report,Jillian C. York,
The Majority Report,Harvey J. Kaye,
The Majority Report,Jake Werner,
The Majority Report,Sarah Miller,
The Majority Report,Leo Schwartz,
The Majority Report,Zachary A. Siegel,
The Majority Report,Steve Paxton,
The Majority Report,Hannah Rae Armstrong,
The Majority Report,Sarah Lamdan,
The Majority Report,Jonathan Graubart,
The Majority Report,Robert Jones,
The Majority Report,Daniel Finn,
The Majority Report,Micha Frazer-Carroll,
The Majority Report,Raymond Craib,
The Majority Report,John Bartlett,
The Majority Report,Robert Kuttner,
The Majority Report,Jon Shelton,
The Majority Report,Michael J. Sandel,
The Majority Report,Dr. Peter Hotez,
The Majority Report,Chill Goblin,
The Majority Report,Amanda Bock,
The Majority Report,Chris Pomorski,
The Majority Report,Indi Dutta-Gupta,
The Majority Report,Andy Campbell,
The Majority Report,Dr. Robert Greene,
The Majority Report,Lauren Ornelas,
